Category,Project Name,Project Link,Creator
Performance Art,Fritz and Fanya. Body of Work. Performance.Paint.Projection.,https://www.kickstarter.com/projects/1807755526/fritz-and-fanya-body-of-work-performancepaintproje,Fritz and Fanya
Illustration,Purrl Grey 30mm hard enamel pin,https://www.kickstarter.com/projects/innaboxdesign/purrl-grey-30mm-hard-enamel-pin,Nicola Box
Illustration,Animal/Coffee/Avocado/Unicorn Print Tote Bags,https://www.kickstarter.com/projects/ejw/animal-print-tote-bags,Ellis Woolley
Art,Camberwell Photography Degree Show 2015,https://www.kickstarter.com/projects/1478864308/camberwell-photography-degree-show-2015,BA Photography Camberwell
Art,University Of Gloucestershire - Advertising Exhibition,https://www.kickstarter.com/projects/1389957717/university-of-gloucestershire-advertising-exhibiti,University of Gloucestershire
Public Art,Wor(l)ds in Collision,https://www.kickstarter.com/projects/1588932043/worlds-in-collision,Exegesis
Performance Art,#NOHOMO ARMBAND,https://www.kickstarter.com/projects/1746118365/nohomo-armband,Xander Mitchell
Digital Art,What Do You Meme?,https://www.kickstarter.com/projects/109942687/what-do-you-meme,Maisie Florence Post
Conceptual Art,CONSTRUSE [An Exploration of Brutalism],https://www.kickstarter.com/projects/303678159/construse-an-exploration-of-brutalism,Rob Watts and Roger Dean
Painting,Painting Workshops For All To Enjoy,https://www.kickstarter.com/projects/1883025018/painting-workshops-for-all-to-enjoy,Rakaya
Performance Art,Levi & Adam's Carnival Degree Show 2017,https://www.kickstarter.com/projects/98604532/levi-and-adams-carnival-degree-show-2017,Levi Naidu-Mitchell & Adam Patterson
Mixed Media,Digital Abuse: A Collaboration Between Artists and Activists,https://www.kickstarter.com/projects/1094162530/digital-abuse-a-collaboration-between-artists-and-0,Sarah Cook
Art,Tomorrowland 1994 Pin Set,https://www.kickstarter.com/projects/robyeo/tomorrowland-1994-pin-set,Rob Yeo Design
Performance Art,Tracing The Future We Shape,https://www.kickstarter.com/projects/1188160556/tracing-the-future-we-shape,Light Trace Memory
Illustration,What Didn't Happen,https://www.kickstarter.com/projects/125093648/what-didnt-happen,Fold Collaborative
Art,The Dead Daisies – The Year of Revolución,https://www.kickstarter.com/projects/2071580330/the-dead-daisies-the-year-of-revolucion,Mark Allison - The Dead Daisies
Public Art,Publication of the Magazine Archipelago,https://www.kickstarter.com/projects/1971120676/publication-of-the-magazine-archipelago,"Christina, Lucy and Suzanne"
Art,Haarlem Artspace Studio Build,https://www.kickstarter.com/projects/618971798/haarlem-artspace-studio-build,Geoff Diego Litherland
Art,"The Girl at the Door: Equality, Gender & Society",https://www.kickstarter.com/projects/kcbatucl/the-girl-at-the-door-equality-gender-and-society,K Clackson Bonnington at UCL Art Museum
Art,Hand-drawn personalised maps from Mappa Lacuna,https://www.kickstarter.com/projects/danielkan/hand-drawn-personalised-maps-from-mappa-lacuna,Daniel Kan
Painting,Brighton fine art painters degree show,https://www.kickstarter.com/projects/95434688/brighton-fine-art-painters-degree-show,Amber Manser
Public Art,Burning the Clocks 2015,https://www.kickstarter.com/projects/605730440/burning-the-clocks-2015,Same Sky
Sculpture,Sculpture Degree Show 2015,https://www.kickstarter.com/projects/342581822/sculpture-degree-show-2015,Archie Leigh-Jones
Art,LAST BREATH,https://www.kickstarter.com/projects/1724801804/last-breath,Rented by the hour
Illustration,Sketch A Day Project,https://www.kickstarter.com/projects/1949162220/sketch-a-day-project,Jane Moore
Art,Critically Endangered Species,https://www.kickstarter.com/projects/ellietate/critically-endangered-species,Ellie Tate
Digital Art,Artist's Ephemeral Website,https://www.kickstarter.com/projects/392726630/artists-ephemeral-website,Sarah Boulton
Illustration,Limited edition Illustrated map of Oxford by Rebecca Howard,https://www.kickstarter.com/projects/437754528/limited-edition-illustrated-map-of-oxford-by-rebec,Rebecca Howard
Art,Macho Pin Badge,https://www.kickstarter.com/projects/168807069/macho-pin-badge,Nathan Lyon
Illustration,Motivational Mama Iron-on Patch.,https://www.kickstarter.com/projects/437920973/motivational-mama-iron-on-patch,Emma Simmonds
Art,Dual Feed,https://www.kickstarter.com/projects/1841795282/dual-feed,Nadine and Petra
Illustration,Doodle Prayer Journal,https://www.kickstarter.com/projects/wellbeingcards/doodle-prayer-journal,Sarah Joy Marshall
Art,BCU Illustration Grad Show 2018,https://www.kickstarter.com/projects/465531606/bcu-illustration-grad-show-2018,BCU Illustration 2015/18
Art,Shift: new photography in the Norfolk landscape,https://www.kickstarter.com/projects/699557191/shift-new-photography-in-the-norfolk-landscape,James Benedict Brown
Public Art,the wet dream: a burningman art installation,https://www.kickstarter.com/projects/beniciaarsenal/the-wet-dream-a-burningman-art-installation,warmbaby
Art,Pretty Vacant Cells Exhibition,https://www.kickstarter.com/projects/116248101/pretty-vacant-cells-exhibition,James Brown
Performance Art,"Quests : a performance about love, loss and creation",https://www.kickstarter.com/projects/247430576/quests-a-performance-about-love-loss-and-creation,Tara D'Arquian
Art,FLAG ACQUISITION: The London Project,https://www.kickstarter.com/projects/tullysatre/flag-acquisition-the-london-project,Tully Satre
Mixed Media,15 Writers' Houses in 15 Days,https://www.kickstarter.com/projects/writershouses/15-writers-houses-in-15-days,A. N. Devers
Public Art,HOME PROJECT 2012,https://www.kickstarter.com/projects/1052136299/home-project-2012,Julia Vogl
Performance Art,Wac Arts Longevity Project,https://www.kickstarter.com/projects/2007251050/wac-arts-longevity-project,Wac Arts
Public Art,The Permanent Exhibition of Heath Robinson's Life and Work,https://www.kickstarter.com/projects/347320855/the-permanent-exhibition-of-heath-robinsons-life-a,The William Heath Robinson Trust
Mixed Media,"""The Sleepers"" A Multimedia Collection of Short Stories",https://www.kickstarter.com/projects/1321652171/the-sleepers-a-multimedia-collection-of-short-stor,Carolyn Fleder
Painting,Katie Buckett's First Solo Painting Exhibition 28 May-3 June,https://www.kickstarter.com/projects/katiebuckettart/katie-bucketts-first-solo-painting-exhibition-28-m,Katie Buckett
Mixed Media,ALBA DREAMS,https://www.kickstarter.com/projects/883100704/alba-dreams,Janette Montague
Performance Art,Teatime Wonder Game,https://www.kickstarter.com/projects/871617608/teatime-wonder-game,Kasia Kaszowska (SlowArt)
Art,Make GENERATORproject’s Member’s Space member friendly,https://www.kickstarter.com/projects/236600640/make-generatorprojects-members-space-member-friend,GENERATORprojects
Conceptual Art,Money For Nothing,https://www.kickstarter.com/projects/simongwynn/money-for-nothing,Simon Gwynn
Performance Art,Staging History: Performance art in the Arab world,https://www.kickstarter.com/projects/238536442/staging-history-performance-art-in-the-arab-world,Delfina Foundation
Painting,365 Landscapes,https://www.kickstarter.com/projects/378987088/365-landscapes,Louise Collis Landscape Artist
Public Art,Empty Walls Street Art Festival Cardiff,https://www.kickstarter.com/projects/303341386/empty-walls-street-art-festival-cardiff,Sam Worthington
Conceptual Art,Illuminated,https://www.kickstarter.com/projects/jollygoodchildren/illuminated-0,Jolly Good Creative Collective
Digital Art,Art & Hue | Graphic Pop Art | Bespoke & Custom Art,https://www.kickstarter.com/projects/artandhue/art-and-hue-graphic-pop-art-bespoke-and-custom-art,Art & Hue
